level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1280	720	-1	
2	1	1	0	0	0	298	30	61	17	-1	
3	1	1	1	0	0	298	30	61	17	-1	
4	1	1	1	1	0	298	30	61	17	-1	
5	1	1	1	1	1	298	30	61	17	96	Helen
2	1	2	0	0	0	288	65	342	57	-1	
3	1	2	1	0	0	297	65	333	57	-1	
4	1	2	1	1	0	297	65	333	13	-1	
5	1	2	1	1	1	297	65	35	10	43	Hello!
5	1	2	1	1	2	338	65	16	13	96	My
5	1	2	1	1	3	360	65	44	13	93	English
5	1	2	1	1	4	410	68	34	7	96	name
5	1	2	1	1	5	450	65	8	10	96	is
5	1	2	1	1	6	463	65	25	13	91	Joy.
5	1	2	1	1	7	494	65	17	10	42	'm
5	1	2	1	1	8	517	65	12	10	91	14
5	1	2	1	1	9	534	68	33	10	96	years
5	1	2	1	1	10	572	65	23	10	93	old.
5	1	2	1	1	11	601	65	29	10	36	'ma
4	1	2	1	2	0	288	78	321	29	-1	
5	1	2	1	2	1	288	78	46	29	96	happy
5	1	2	1	2	2	495	87	13	13	85	ly.
5	1	2	1	2	3	514	87	16	13	80	My
5	1	2	1	2	4	536	87	48	10	96	hobbies
5	1	2	1	2	5	590	90	19	7	96	are
4	1	2	1	3	0	297	109	329	13	-1	
5	1	2	1	3	1	297	109	52	13	95	listening
5	1	2	1	3	2	354	111	11	8	96	to
5	1	2	1	3	3	371	109	35	10	96	music
5	1	2	1	3	4	412	109	22	10	95	and
5	1	2	1	3	5	440	109	51	13	90	reading.
5	1	2	1	3	6	497	109	2	10	93	|
5	1	2	1	3	7	505	109	21	10	95	like
5	1	2	1	3	8	532	112	22	10	96	pop
5	1	2	1	3	9	560	109	35	10	96	music
5	1	2	1	3	10	600	112	26	10	95	very
2	1	3	0	0	0	827	30	55	17	-1	
3	1	3	1	0	0	827	30	55	17	-1	
4	1	3	1	1	0	827	30	55	17	-1	
5	1	3	1	1	1	827	30	55	17	96	John
2	1	4	0	0	0	827	65	314	79	-1	
3	1	4	1	0	0	827	65	314	79	-1	
4	1	4	1	1	0	828	65	294	13	-1	
5	1	4	1	1	1	828	65	26	10	26	Tam
5	1	4	1	1	2	860	68	6	7	92	a
5	1	4	1	1	3	872	65	25	13	95	boy.
5	1	4	1	1	4	903	65	16	13	81	My
5	1	4	1	1	5	925	68	34	7	96	name
5	1	4	1	1	6	965	65	8	10	95	is
5	1	4	1	1	7	978	65	34	10	77	John.
5	1	4	1	1	8	1018	65	2	10	68	|
5	1	4	1	1	9	1026	68	18	7	68	am
5	1	4	1	1	10	1050	68	6	7	95	a
5	1	4	1	1	11	1061	65	46	10	73	student
5	1	4	1	1	12	1112	65	10	10	73	in
4	1	4	1	2	0	829	87	290	13	-1	
5	1	4	1	2	1	829	87	45	10	91	SuZhou
5	1	4	1	2	2	880	87	64	13	94	University.
5	1	4	1	2	3	950	87	2	10	60	|
5	1	4	1	2	4	972	90	7	7	60	like
5	1	4	1	2	5	985	87	25	13	96	play
5	1	4	1	2	6	1015	87	31	10	95	table
5	1	4	1	2	7	1051	87	37	10	87	tennis
5	1	4	1	2	8	1093	90	26	10	87	very
4	1	4	1	3	0	828	109	313	13	-1	
5	1	4	1	3	1	828	109	37	12	96	much,
5	1	4	1	3	2	871	109	22	10	96	and
5	1	4	1	3	3	894	100	5	29	88	|
5	1	4	1	3	4	907	109	21	10	96	like
5	1	4	1	3	5	933	112	64	10	93	swimming
5	1	4	1	3	6	1002	110	23	9	89	too.
5	1	4	1	3	7	1031	109	2	10	60	I
5	1	4	1	3	8	1038	112	15	10	93	go
5	1	4	1	3	9	1058	110	11	9	95	to
5	1	4	1	3	10	1074	109	40	10	92	school
5	1	4	1	3	11	1119	109	22	10	95	five
4	1	4	1	4	0	827	131	227	13	-1	
5	1	4	1	4	1	827	131	28	13	96	days
5	1	4	1	4	2	860	134	34	10	96	every
5	1	4	1	4	3	899	131	37	12	95	week,
5	1	4	1	4	4	942	133	20	8	74	itis
5	1	4	1	4	5	968	134	6	7	71	@
5	1	4	1	4	6	980	131	25	10	89	nice
5	1	4	1	4	7	1010	131	44	10	90	school.
2	1	5	0	0	0	479	90	14	7	-1	
3	1	5	1	0	0	479	90	14	7	-1	
