,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1280,720,-1,
1,2,1,1,0,0,0,298,26,584,31,-1,
2,3,1,1,1,0,0,298,26,584,31,-1,
3,4,1,1,1,1,0,298,26,584,31,-1,
4,5,1,1,1,1,1,298,26,61,31,96,Helen
5,5,1,1,1,1,2,827,30,55,17,96,John
6,2,1,2,0,0,0,297,65,825,57,-1,
7,3,1,2,1,0,0,297,65,825,57,-1,
8,4,1,2,1,1,0,297,65,825,13,-1,
9,5,1,2,1,1,1,297,65,35,10,96,Hello!
10,5,1,2,1,1,2,338,65,17,13,96,My
11,5,1,2,1,1,3,360,65,44,13,90,English
12,5,1,2,1,1,4,410,68,35,7,90,name
13,5,1,2,1,1,5,450,65,9,10,95,is
14,5,1,2,1,1,6,463,65,25,13,86,Joy.
15,5,1,2,1,1,7,494,65,17,10,86,'m
16,5,1,2,1,1,8,517,65,13,10,96,14
17,5,1,2,1,1,9,534,68,34,10,96,years
18,5,1,2,1,1,10,572,65,23,10,95,old.
19,5,1,2,1,1,11,601,65,29,10,81,I'ma
20,5,1,2,1,1,12,828,65,26,10,31,Lam
21,5,1,2,1,1,13,859,68,7,7,95,a
22,5,1,2,1,1,14,872,65,25,13,96,boy.
23,5,1,2,1,1,15,903,65,17,13,96,My
24,5,1,2,1,1,16,925,68,35,7,96,name
25,5,1,2,1,1,17,965,65,9,10,96,is
26,5,1,2,1,1,18,978,65,34,10,80,John.
27,5,1,2,1,1,19,1018,65,2,10,89,|
28,5,1,2,1,1,20,1025,68,19,7,89,am
29,5,1,2,1,1,21,1049,68,7,7,95,a
30,5,1,2,1,1,22,1061,65,46,10,96,student
31,5,1,2,1,1,23,1112,65,10,10,93,in
32,4,1,2,1,2,0,297,87,313,13,-1,
33,5,1,2,1,2,1,297,87,38,13,95,happy
34,5,1,2,1,2,2,352,87,11,10,96,girl.
35,5,1,2,1,2,3,369,87,2,10,66,|
36,5,1,2,1,2,4,377,87,30,10,87,have
37,5,1,2,1,2,5,411,90,7,7,93,a
38,5,1,2,1,2,6,424,87,38,13,86,happy
39,5,1,2,1,2,7,466,87,42,13,92,family.
40,5,1,2,1,2,8,514,87,17,13,92,My
41,5,1,2,1,2,9,536,87,49,10,87,hobbies
42,5,1,2,1,2,10,589,90,21,7,94,are
43,4,1,2,1,3,0,297,109,330,13,-1,
44,5,1,2,1,3,1,297,109,52,13,95,listening
45,5,1,2,1,3,2,354,110,12,9,96,to
46,5,1,2,1,3,3,371,109,36,10,96,music
47,5,1,2,1,3,4,411,109,23,10,96,and
48,5,1,2,1,3,5,440,109,51,13,89,reading.
49,5,1,2,1,3,6,497,109,2,10,95,|
50,5,1,2,1,3,7,505,109,22,10,96,like
51,5,1,2,1,3,8,532,112,23,10,96,pop
52,5,1,2,1,3,9,560,109,36,10,95,music
53,5,1,2,1,3,10,600,112,27,10,91,very
54,2,1,3,0,0,0,339,83,609,21,-1,
55,3,1,3,1,0,0,339,83,609,21,-1,
56,4,1,3,1,1,0,339,83,609,21,-1,
57,5,1,3,1,1,1,339,90,11,10,95, 
58,5,1,3,1,1,2,479,90,14,7,95, 
59,5,1,3,1,1,3,824,83,124,21,95, 
60,2,1,4,0,0,0,285,87,857,64,-1,
61,3,1,4,1,0,0,297,87,845,57,-1,
62,4,1,4,1,1,0,950,87,170,13,-1,
63,5,1,4,1,1,1,950,87,2,10,53,I
64,5,1,4,1,1,2,958,87,22,10,53,like
