,img_num,ocr_algo,cer,cer_comp
0,1,ezocr,0.05003474635163308,94.99652536483669
1,2,ezocr,0.29175152749490835,70.82484725050917
2,3,ezocr,0.17440841367221735,82.55915863277826
3,4,ezocr,0.3132530120481928,68.67469879518072
4,5,ezocr,0.07120253164556962,92.87974683544303
5,6,ezocr,0.03509891512444161,96.49010848755583
6,7,ezocr,0.08670520231213873,91.32947976878613
7,8,ezocr,0.11831368993653672,88.16863100634633
8,11,ezocr,0.24460916442048516,75.53908355795149
9,12,ezocr,0.30256410256410254,69.74358974358974
10,15,ezocr,0.15959119496855345,84.04088050314465
11,18,ezocr,0.20759493670886076,79.24050632911393
12,20,ezocr,0.08879120879120879,91.12087912087912
13,21,ezocr,0.028020211299954065,97.1979788700046
14,24,ezocr,0.3044590643274854,69.55409356725146
15,29,ezocr,0.20346534653465345,79.65346534653466
0,1,tess,0.15288394718554552,84.71160528144544
1,2,tess,0.39307535641547864,60.692464358452135
2,3,tess,0.1411042944785276,85.88957055214725
3,4,tess,0.22690763052208834,77.30923694779118
4,5,tess,0.028481012658227847,97.15189873417721
5,6,tess,0.025526483726866625,97.44735162731334
6,7,tess,0.32514450867052025,67.48554913294798
7,8,tess,0.07252946509519492,92.74705349048051
8,11,tess,0.4225067385444744,57.74932614555256
9,12,tess,0.24786324786324787,75.21367521367522
10,15,tess,0.31761006289308175,68.23899371069182
11,18,tess,0.22531645569620254,77.46835443037975
12,20,tess,0.10065934065934067,89.93406593406593
13,21,tess,0.16995865870463941,83.00413412953606
14,24,tess,0.25219298245614036,74.78070175438596
15,29,tess,0.24603960396039604,75.39603960396039
