ref,ref_num,img,img_num,comp,qual,mos,ter,ter_comp
SCI01,1,SCI01_1_1,1,1,1,64.40449953,0.04307909604519774,95.69209039548022
SCI01,1,SCI01_1_2,1,1,2,50.77260091,0.08478260869565217,91.52173913043478
SCI01,1,SCI01_1_3,1,1,3,45.00483863,0.1282608695652174,87.17391304347825
SCI01,1,SCI01_1_4,1,1,4,32.49257514,0.9978260869565218,0.21739130434782483
SCI01,1,SCI01_1_5,1,1,5,28.45834456,0.9978260869565218,0.21739130434782483
SCI01,1,SCI01_2_1,1,2,1,62.24743284,0.029957203994293864,97.00427960057061
SCI01,1,SCI01_2_2,1,2,2,51.13917862,0.15434782608695652,84.56521739130434
SCI01,1,SCI01_2_3,1,2,3,42.52097411,0.15507246376811595,84.4927536231884
SCI01,1,SCI01_2_4,1,2,4,38.20999698,0.41231884057971013,58.768115942028984
SCI01,1,SCI01_2_5,1,2,5,28.71618937,0.9594202898550724,4.057971014492756
SCI01,1,SCI01_3_1,1,3,1,61.60698317,0.013768115942028985,98.62318840579711
SCI01,1,SCI01_3_2,1,3,2,46.69337909,0.7195652173913043,28.04347826086957
SCI01,1,SCI01_3_3,1,3,3,43.27434201,0.9855072463768116,1.449275362318836
SCI01,1,SCI01_3_4,1,3,4,33.20190761,0.9956521739130435,0.43478260869564966
SCI01,1,SCI01_3_5,1,3,5,26.31585083,0.9956521739130435,0.43478260869564966
SCI01,1,SCI01_4_1,1,4,1,39.00028178,0.005068790731354091,99.49312092686459
SCI01,1,SCI01_4_2,1,4,2,50.52505924,0.01083815028901734,98.91618497109826
SCI01,1,SCI01_4_3,1,4,3,61.28836247,0.051209103840682786,94.87908961593172
SCI01,1,SCI01_4_4,1,4,4,56.32828354,0.051209103840682786,94.87908961593172
SCI01,1,SCI01_4_5,1,4,5,56.36849054,0.028985507246376812,97.10144927536231
SCI01,1,SCI01_5_1,1,5,1,72.23745795,0.034236804564907276,96.57631954350927
SCI01,1,SCI01_5_2,1,5,2,64.32150091,0.030868628858578606,96.91313711414213
SCI01,1,SCI01_5_3,1,5,3,50.45757683,0.04292751583391977,95.70724841660802
SCI01,1,SCI01_5_4,1,5,4,40.43060296,0.07004160887656033,92.99583911234397
SCI01,1,SCI01_5_5,1,5,5,38.55535786,0.06993006993006994,93.00699300699301
SCI01,1,SCI01_6_1,1,6,1,70.39492611,0.012256669069935111,98.77433309300649
SCI01,1,SCI01_6_2,1,6,2,63.11882855,0.026185421089879687,97.38145789101203
SCI01,1,SCI01_6_3,1,6,3,47.51259948,0.029369627507163324,97.06303724928367
SCI01,1,SCI01_6_4,1,6,4,43.91350926,0.04019746121297602,95.9802538787024
SCI01,1,SCI01_6_5,1,6,5,31.89943145,0.03470715835140998,96.52928416485899
SCI01,1,SCI01_7_1,1,7,1,70.52851113,0.03450704225352113,96.54929577464789
SCI01,1,SCI01_7_2,1,7,2,62.26727364,0.02702702702702703,97.2972972972973
SCI01,1,SCI01_7_3,1,7,3,57.42545143,0.0319375443577005,96.80624556422995
SCI01,1,SCI01_7_4,1,7,4,48.3171817,0.056668970283344854,94.33310297166551
SCI01,1,SCI01_7_5,1,7,5,44.08148903,0.03737658674188998,96.262341325811
SCI01,1,SCI01_8_1,1,8,1,75.2901966,0.03794799718903725,96.20520028109627
SCI01,1,SCI01_8_2,1,8,2,71.22782817,0.03518648838845883,96.48135116115412
SCI01,1,SCI01_8_3,1,8,3,63.05305472,0.02391304347826087,97.60869565217392
SCI01,1,SCI01_8_4,1,8,4,64.22491367,0.021014492753623187,97.89855072463767
SCI01,1,SCI01_8_5,1,8,5,45.59856558,0.06671299513551077,93.32870048644892
SCI01,1,SCI01_9_1,1,9,1,73.41571669,0.010869565217391304,98.91304347826086
SCI01,1,SCI01_9_2,1,9,2,66.57966601,0.013728323699421965,98.6271676300578
SCI01,1,SCI01_9_3,1,9,3,59.37847355,0.046089385474860335,95.39106145251397
SCI01,1,SCI01_9_4,1,9,4,46.51354987,0.06810284920083391,93.18971507991661
SCI01,1,SCI01_9_5,1,9,5,42.80475778,0.10789283128167994,89.210716871832
SCI02,2,SCI02_1_1,2,1,1,67.29721451,0.4440874035989717,55.591259640102834
SCI02,2,SCI02_1_2,2,1,2,56.16891873,0.3329639889196676,66.70360110803324
SCI02,2,SCI02_1_3,2,1,3,51.04054963,0.1918568784700802,80.81431215299197
SCI02,2,SCI02_1_4,2,1,4,36.70846106,0.9980719794344473,0.1928020565552746
SCI02,2,SCI02_1_5,2,1,5,29.26427273,0.9980719794344473,0.1928020565552746
SCI02,2,SCI02_2_1,2,2,1,55.61446539,0.2011568123393316,79.88431876606684
SCI02,2,SCI02_2_2,2,2,2,48.62565118,0.23393316195372751,76.60668380462725
SCI02,2,SCI02_2_3,2,2,3,38.60444711,0.256426735218509,74.3573264781491
SCI02,2,SCI02_2_4,2,2,4,34.1398393,0.43316195372750643,56.68380462724936
SCI02,2,SCI02_2_5,2,2,5,28.82143408,0.8669665809768637,13.303341902313626
SCI02,2,SCI02_3_1,2,3,1,56.15462806,0.28406169665809766,71.59383033419023
SCI02,2,SCI02_3_2,2,3,2,37.38436473,0.8168380462724936,18.31619537275064
SCI02,2,SCI02_3_3,2,3,3,31.00479816,0.9575835475578406,4.241645244215942
SCI02,2,SCI02_3_4,2,3,4,29.41201764,0.9543701799485861,4.562982005141391
SCI02,2,SCI02_3_5,2,3,5,27.56240449,0.961439588688946,3.8560411311054033
SCI02,2,SCI02_4_1,2,4,1,38.22515919,0.11987577639751552,88.01242236024845
SCI02,2,SCI02_4_2,2,4,2,50.2659264,0.09910485933503836,90.08951406649616
SCI02,2,SCI02_4_3,2,4,3,57.19487586,0.26306196840826246,73.69380315917375
SCI02,2,SCI02_4_4,2,4,4,54.42636283,0.4273778920308483,57.26221079691517
SCI02,2,SCI02_4_5,2,4,5,48.21482308,0.2095115681233933,79.04884318766067
SCI02,2,SCI02_5_1,2,5,1,67.14448277,0.36311053984575836,63.688946015424165
SCI02,2,SCI02_5_2,2,5,2,58.9186885,0.39331619537275064,60.66838046272493
SCI02,2,SCI02_5_3,2,5,3,54.41952858,0.35411311053984573,64.58868894601542
SCI02,2,SCI02_5_4,2,5,4,36.01963014,0.2403598971722365,75.96401028277636
SCI02,2,SCI02_5_5,2,5,5,33.93255213,0.4556555269922879,54.434447300771204
SCI02,2,SCI02_6_1,2,6,1,74.18100898,0.2111244019138756,78.88755980861244
SCI02,2,SCI02_6_2,2,6,2,71.04893315,0.42159383033419023,57.84061696658098
SCI02,2,SCI02_6_3,2,6,3,50.29312188,0.21143958868894602,78.8560411311054
SCI02,2,SCI02_6_4,2,6,4,39.62625601,0.2814910025706941,71.8508997429306
SCI02,2,SCI02_6_5,2,6,5,32.56783416,0.2834190231362468,71.65809768637533
SCI02,2,SCI02_7_1,2,7,1,73.47722564,0.027617212588310854,97.23827874116891
SCI02,2,SCI02_7_2,2,7,2,68.61645985,0.20244215938303342,79.75578406169666
SCI02,2,SCI02_7_3,2,7,3,62.7592753,0.2043701799485861,79.5629820051414
SCI02,2,SCI02_7_4,2,7,4,54.8680718,0.20629820051413883,79.37017994858611
SCI02,2,SCI02_7_5,2,7,5,48.22907619,0.20758354755784061,79.24164524421595
SCI02,2,SCI02_8_1,2,8,1,74.73528785,0.12554112554112554,87.44588744588745
SCI02,2,SCI02_8_2,2,8,2,74.34960089,0.40359897172236503,59.6401028277635
SCI02,2,SCI02_8_3,2,8,3,70.94816803,0.2826210826210826,71.73789173789173
SCI02,2,SCI02_8_4,2,8,4,72.26719379,0.39267352185089976,60.732647814910024
SCI02,2,SCI02_8_5,2,8,5,49.97364746,0.2583547557840617,74.16452442159382
SCI02,2,SCI02_9_1,2,9,1,71.6466893,0.14203084832904883,85.79691516709511
SCI02,2,SCI02_9_2,2,9,2,73.65842812,0.15038560411311053,84.96143958868895
SCI02,2,SCI02_9_3,2,9,3,71.94932227,0.17416452442159383,82.58354755784062
SCI02,2,SCI02_9_4,2,9,4,56.62783853,0.18830334190231363,81.16966580976863
SCI02,2,SCI02_9_5,2,9,5,47.88141656,0.2043701799485861,79.5629820051414
SCI03,3,SCI03_1_1,3,1,1,62.70532762,0.30910683012259194,69.08931698774082
SCI03,3,SCI03_1_2,3,1,2,45.28611007,0.40384615384615385,59.61538461538461
SCI03,3,SCI03_1_3,3,1,3,40.54332596,0.4982486865148862,50.17513134851138
SCI03,3,SCI03_1_4,3,1,4,31.87244823,0.9973730297723292,0.26269702276707774
SCI03,3,SCI03_1_5,3,1,5,28.98922561,0.9973730297723292,0.26269702276707774
SCI03,3,SCI03_2_1,3,2,1,53.07137579,0.6470588235294118,35.29411764705882
SCI03,3,SCI03_2_2,3,2,2,47.16882989,0.28458844133099825,71.54115586690017
SCI03,3,SCI03_2_3,3,2,3,32.6340128,0.2835951134380454,71.64048865619546
SCI03,3,SCI03_2_4,3,2,4,29.6814857,0.6225919439579685,37.74080560420315
SCI03,3,SCI03_2_5,3,2,5,25.96513002,0.6401050788091068,35.98949211908932
SCI03,3,SCI03_3_1,3,3,1,57.19433159,0.26503923278116825,73.49607672188317
SCI03,3,SCI03_3_2,3,3,2,45.33518267,0.3555166374781086,64.44833625218914
SCI03,3,SCI03_3_3,3,3,3,32.0043003,0.4754816112084063,52.45183887915936
SCI03,3,SCI03_3_4,3,3,4,27.42462933,0.808231173380035,19.176882661996498
SCI03,3,SCI03_3_5,3,3,5,27.48082028,0.809106830122592,19.0893169877408
SCI03,3,SCI03_4_1,3,4,1,36.33595608,0.08231173380035026,91.76882661996497
SCI03,3,SCI03_4_2,3,4,2,53.01825837,0.02276707530647986,97.72329246935202
SCI03,3,SCI03_4_3,3,4,3,58.33738734,0.329246935201401,67.0753064798599
SCI03,3,SCI03_4_4,3,4,4,55.42948859,0.3073555166374781,69.26444833625219
SCI03,3,SCI03_4_5,3,4,5,49.94708808,0.2880622837370242,71.19377162629759
SCI03,3,SCI03_5_1,3,5,1,66.7372086,0.1974025974025974,80.25974025974025
SCI03,3,SCI03_5_2,3,5,2,64.8327943,0.37565674255691767,62.434325744308225
SCI03,3,SCI03_5_3,3,5,3,51.6895431,0.3467600700525394,65.32399299474606
SCI03,3,SCI03_5_4,3,5,4,36.39493691,0.3336252189141856,66.63747810858143
SCI03,3,SCI03_5_5,3,5,5,26.50418742,0.5551663747810858,44.48336252189142
SCI03,3,SCI03_6_1,3,6,1,71.51437251,0.02276707530647986,97.72329246935202
SCI03,3,SCI03_6_2,3,6,2,66.4477194,0.2274715660542432,77.25284339457568
SCI03,3,SCI03_6_3,3,6,3,49.66133156,0.19478260869565217,80.52173913043478
SCI03,3,SCI03_6_4,3,6,4,44.6218643,0.2224168126094571,77.75831873905429
SCI03,3,SCI03_6_5,3,6,5,32.27058588,0.21015761821366025,78.98423817863399
SCI03,3,SCI03_7_1,3,7,1,74.07773182,0.005253940455341506,99.47460595446584
SCI03,3,SCI03_7_2,3,7,2,69.37727425,0.23029772329246936,76.97022767075306
SCI03,3,SCI03_7_3,3,7,3,63.66553742,0.22541340295909487,77.45865970409052
SCI03,3,SCI03_7_4,3,7,4,57.61281132,0.24415584415584415,75.58441558441558
SCI03,3,SCI03_7_5,3,7,5,48.43227975,0.2530647985989492,74.69352014010508
SCI03,3,SCI03_8_1,3,8,1,74.38565307,0.01838879159369527,98.16112084063047
SCI03,3,SCI03_8_2,3,8,2,67.98061734,0.34146341463414637,65.85365853658536
SCI03,3,SCI03_8_3,3,8,3,63.61890767,0.3108581436077058,68.91418563922942
SCI03,3,SCI03_8_4,3,8,4,50.08029678,0.3073555166374781,69.26444833625219
SCI03,3,SCI03_8_5,3,8,5,36.30124175,0.6721595836947094,32.78404163052906
SCI03,3,SCI03_9_1,3,9,1,66.99790544,0.44658493870402804,55.34150612959719
SCI03,3,SCI03_9_2,3,9,2,62.31236829,0.361646234676007,63.8353765323993
SCI03,3,SCI03_9_3,3,9,3,60.02884767,0.2180385288966725,78.19614711033275
SCI03,3,SCI03_9_4,3,9,4,34.77882766,0.521891418563923,47.8108581436077
SCI03,3,SCI03_9_5,3,9,5,33.09014365,0.37302977232924694,62.6970227670753
SCI04,4,SCI04_1_1,4,1,1,67.76944373,0.02631578947368421,97.36842105263158
SCI04,4,SCI04_1_2,4,1,2,55.51527101,0.39952153110047844,60.04784688995215
SCI04,4,SCI04_1_3,4,1,3,45.55747342,0.09808612440191387,90.19138755980862
SCI04,4,SCI04_1_4,4,1,4,31.43125571,0.992822966507177,0.7177033492822948
SCI04,4,SCI04_1_5,4,1,5,30.63541506,0.992822966507177,0.7177033492822948
SCI04,4,SCI04_2_1,4,2,1,61.54200896,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_2_2,4,2,2,49.70459472,0.028708133971291867,97.1291866028708
SCI04,4,SCI04_2_3,4,2,3,44.17771287,0.045454545454545456,95.45454545454545
SCI04,4,SCI04_2_4,4,2,4,38.59534394,0.03588516746411483,96.41148325358851
SCI04,4,SCI04_2_5,4,2,5,39.75113115,0.04784688995215311,95.21531100478468
SCI04,4,SCI04_3_1,4,3,1,59.50951663,0.028708133971291867,97.1291866028708
SCI04,4,SCI04_3_2,4,3,2,45.64762019,0.04066985645933014,95.93301435406698
SCI04,4,SCI04_3_3,4,3,3,41.11044708,0.03110047846889952,96.88995215311004
